id,domain,competencyIds,competencyLabel,difficulty,layer,scope,familyId,casePatternId,prompt,context,need,artifactType,artifactLabel,artifactBrief,generationPrompt,questionId,th
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-AWARENESS-02","D1","D1-core-concepts","Core AI concepts","awareness","core","Core / general","D1-core-concepts-awareness","D1-core-concepts-awareness-2","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area. Tailor it to this question: Community learning group uses AI to prepare a workshop guide. The assistant returns exact passages with record identifiers from reviewed learning materials. The guide has to work for readers with no AI background. What is the AI tool doing in this workshop guide?","Scenario: Community learning group needs a workshop guide.
Use: reviewed learning materials.
Rule: The guide must work for readers with no AI background.
Risk: An unsupported instruction can mislead new learners.
Evidence: The assistant returns exact passages with record identifiers from reviewed learning materials.","artifact helpful","source-comparison-pack","Source comparison / version evidence","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-AWARENESS-02","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-AWARENESS-04","D1","D1-core-concepts","Core AI concepts","awareness","core","Core / general","D1-core-concepts-awareness","D1-core-concepts-awareness-4","Create a realistic business email, chat, or support-ticket thread with sender identity, timestamps, quoted prior message, attachment reference, and one risky ambiguity. Tailor it to this question: Internal support team uses AI to prepare a support response. The workspace combines a language model, a search index, permissions, and a review screen. Staff has to approve the response before it is sent. What is the AI tool doing in this support response?","Scenario: Internal support team needs a support response.
Use: maintained knowledge articles.
Rule: Staff must approve the response before it is sent.
Risk: An incorrect answer can cause repeated support work.
Evidence: The workspace combines a language model, a search index, permissions, and a review screen.","requires artifact","communication-thread","Email / chat / ticket thread","Realistic email/chat/ticket thread with sender, dates, attachments, and ambiguous or risky claim highlighted.","Create a realistic business email, chat, or support-ticket thread with sender identity, timestamps, quoted prior message, attachment reference, and one risky ambiguity.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-AWARENESS-04","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-AWARENESS-05","D1","D1-core-concepts","Core AI concepts","awareness","core","Core / general","D1-core-concepts-awareness","D1-core-concepts-awareness-1","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area. Tailor it to this question: Research group uses AI to prepare an evidence summary. The assistant writes an answer using its language model, but it does not search documented source extracts. Every material factual claim needs traceable evidence. What is the AI tool doing in this evidence summary?","Scenario: Research group needs an evidence summary.
Use: documented source extracts.
Rule: Every material factual claim needs traceable evidence.
Risk: An unsupported result can distort the recommendation.
Evidence: The assistant writes an answer using its language model, but it does not search documented source extracts.","requires artifact","source-comparison-pack","Source comparison / version evidence","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-AWARENESS-05","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-AWARENESS-06","D1","D1-core-concepts","Core AI concepts","awareness","core","Core / general","D1-core-concepts-awareness","D1-core-concepts-awareness-2","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap. Tailor it to this question: Volunteer organization uses AI to prepare a coordination plan. The assistant returns exact passages with record identifiers from approved volunteer schedules. Named people has to confirm changes to their assignments. What is the AI tool doing in this coordination plan?","Scenario: Volunteer organization needs a coordination plan.
Use: approved volunteer schedules.
Rule: Named people must confirm changes to their assignments.
Risk: A missed handoff can leave a service uncovered.
Evidence: The assistant returns exact passages with record identifiers from approved volunteer schedules.","artifact helpful","workflow-trace","Workflow / agent trace","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-AWARENESS-06","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-APPLIED-01","D1","D1-core-concepts","Core AI concepts","applied","core","Core / general","D1-core-concepts-applied","D1-core-concepts-applied-4","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap. Tailor it to this question: Project team uses AI to prepare a project update. The system must inspect a record, draft a response, and request approval before a write. Only the current approved version can be circulated. What setup best fits the project update?","Scenario: Project team needs a project update.
Use: approved project records.
Rule: Only the current approved version may be circulated.
Risk: A wrong update can send the team to the wrong milestone.
Evidence: The system must inspect a record, draft a response, and request approval before a write.","requires artifact","workflow-trace","Workflow / agent trace","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-APPLIED-01","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-APPLIED-02","D1","D1-core-concepts","Core AI concepts","applied","core","Core / general","D1-core-concepts-applied","D1-core-concepts-applied-1","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area. Tailor it to this question: Community learning group uses AI to prepare a workshop guide. Every output must reproduce the same approved sentence when the same category is selected. The guide has to work for readers with no AI background. What setup best fits the workshop guide? Select all that apply.","Scenario: Community learning group needs a workshop guide.
Use: reviewed learning materials.
Rule: The guide must work for readers with no AI background.
Risk: An unsupported instruction can mislead new learners.
Evidence: Every output must reproduce the same approved sentence when the same category is selected.","artifact helpful","source-comparison-pack","Source comparison / version evidence","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-APPLIED-02","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-APPLIED-04","D1","D1-core-concepts","Core AI concepts","applied","core","Core / general","D1-core-concepts-applied","D1-core-concepts-applied-3","Create a realistic business email, chat, or support-ticket thread with sender identity, timestamps, quoted prior message, attachment reference, and one risky ambiguity. Tailor it to this question: Internal support team uses AI to prepare a support response. Staff need the exact current clause and its record identifier, without paraphrasing. Staff has to approve the response before it is sent. What setup best fits the support response? Select all that apply.","Scenario: Internal support team needs a support response.
Use: maintained knowledge articles.
Rule: Staff must approve the response before it is sent.
Risk: An incorrect answer can cause repeated support work.
Evidence: Staff need the exact current clause and its record identifier, without paraphrasing.","artifact helpful","communication-thread","Email / chat / ticket thread","Realistic email/chat/ticket thread with sender, dates, attachments, and ambiguous or risky claim highlighted.","Create a realistic business email, chat, or support-ticket thread with sender identity, timestamps, quoted prior message, attachment reference, and one risky ambiguity.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-APPLIED-04","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-APPLIED-05","D1","D1-core-concepts","Core AI concepts","applied","core","Core / general","D1-core-concepts-applied","D1-core-concepts-applied-4","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area. Tailor it to this question: Research group uses AI to prepare an evidence summary. The system must inspect a record, draft a response, and request approval before a write. Every material factual claim needs traceable evidence. What setup best fits the evidence summary?","Scenario: Research group needs an evidence summary.
Use: documented source extracts.
Rule: Every material factual claim needs traceable evidence.
Risk: An unsupported result can distort the recommendation.
Evidence: The system must inspect a record, draft a response, and request approval before a write.","requires artifact","source-comparison-pack","Source comparison / version evidence","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-APPLIED-05","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-APPLIED-06","D1","D1-core-concepts","Core AI concepts","applied","core","Core / general","D1-core-concepts-applied","D1-core-concepts-applied-1","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap. Tailor it to this question: Volunteer organization uses AI to prepare a coordination plan. Every output must reproduce the same approved sentence when the same category is selected. Named people has to confirm changes to their assignments. What setup best fits the coordination plan? Select all that apply.","Scenario: Volunteer organization needs a coordination plan.
Use: approved volunteer schedules.
Rule: Named people must confirm changes to their assignments.
Risk: A missed handoff can leave a service uncovered.
Evidence: Every output must reproduce the same approved sentence when the same category is selected.","artifact helpful","workflow-trace","Workflow / agent trace","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-APPLIED-06","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-PROFICIENT-02","D1","D1-core-concepts","Core AI concepts","proficient","core","Core / general","D1-core-concepts-proficient","D1-core-concepts-proficient-1","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area. Tailor it to this question: Community learning group uses AI to prepare a workshop guide. Two apps use the same model. Only one can access the current reviewed learning materials and only that app answers the version question correctly. The guide has to work for readers with no AI background. Which conclusion is justified by this comparison?","Scenario: Community learning group needs a workshop guide.
Use: reviewed learning materials.
Rule: The guide must work for readers with no AI background.
Risk: An unsupported instruction can mislead new learners.
Evidence: Two apps use the same model. Only one can access the current reviewed learning materials and only that app answers the version question correctly.","requires artifact","source-comparison-pack","Source comparison / version evidence","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-PROFICIENT-02","[object Object]"
