artifactType,artifactLabel,domain,competencyLabel,difficulty,priority,candidateCount,sampleQuestionIds,artifactBrief,generationPrompt
"workflow-trace","Workflow / agent trace","D6","Learning and improvement loops","awareness","high","33","NH-CORE-GENERAL-D6-LEARNING-LOOPS-AWARENESS-01; NH-CORE-GENERAL-D6-LEARNING-LOOPS-AWARENESS-03; NH-CORE-GENERAL-D6-LEARNING-LOOPS-AWARENESS-04; NH-CORE-GENERAL-D6-LEARNING-LOOPS-AWARENESS-06; NH-CORE-GENERAL-D6-LEARNING-LOOPS-AWARENESS-07; NH-CORE-GENERAL-D6-LEARNING-LOOPS-AWARENESS-08; NH-FUNCTION-MARKETING-D6-LEARNING-LOOPS-AWARENESS-01; NH-FUNCTION-MARKETING-D6-LEARNING-LOOPS-AWARENESS-02","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"source-comparison-pack","Source comparison / version evidence","D3","Source and claim verification","applied","high","30","NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-APPLIED-01; NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-APPLIED-02; NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-APPLIED-03; NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-APPLIED-05; NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-APPLIED-07; NH-FUNCTION-GENERAL-D3-SOURCE-VERIFICATION-APPLIED-02; NH-FUNCTION-GENERAL-D3-SOURCE-VERIFICATION-APPLIED-04; NH-FUNCTION-PEOPLE-D3-SOURCE-VERIFICATION-APPLIED-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D3","Source and claim verification","advanced","high","29","NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-ADVANCED-02; NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-ADVANCED-04; NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-ADVANCED-05; NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-ADVANCED-06; NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-ADVANCED-08; NH-FUNCTION-GENERAL-D3-SOURCE-VERIFICATION-ADVANCED-01; NH-FUNCTION-GENERAL-D3-SOURCE-VERIFICATION-ADVANCED-03; NH-FUNCTION-PEOPLE-D3-SOURCE-VERIFICATION-ADVANCED-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"workflow-trace","Workflow / agent trace","D4","Security and governance controls","applied","high","27","NH-CORE-GENERAL-D4-SECURITY-GOVERNANCE-APPLIED-03; NH-CORE-GENERAL-D4-SECURITY-GOVERNANCE-APPLIED-04; NH-CORE-GENERAL-D4-SECURITY-GOVERNANCE-APPLIED-06; NH-CORE-GENERAL-D4-SECURITY-GOVERNANCE-APPLIED-07; NH-CORE-GENERAL-D4-SECURITY-GOVERNANCE-APPLIED-08; NH-FUNCTION-GENERAL-D4-SECURITY-GOVERNANCE-APPLIED-01; NH-FUNCTION-GENERAL-D4-SECURITY-GOVERNANCE-APPLIED-02; NH-FUNCTION-GENERAL-D4-SECURITY-GOVERNANCE-APPLIED-03","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"workflow-trace","Workflow / agent trace","D4","Security and governance controls","awareness","high","25","NH-CORE-GENERAL-D4-SECURITY-GOVERNANCE-AWARENESS-04; NH-CORE-GENERAL-D4-SECURITY-GOVERNANCE-AWARENESS-06; NH-CORE-GENERAL-D4-SECURITY-GOVERNANCE-AWARENESS-08; NH-FUNCTION-GENERAL-D4-SECURITY-GOVERNANCE-AWARENESS-01; NH-FUNCTION-GENERAL-D4-SECURITY-GOVERNANCE-AWARENESS-02; NH-FUNCTION-GENERAL-D4-SECURITY-GOVERNANCE-AWARENESS-04; NH-FUNCTION-FINANCE-D4-SECURITY-GOVERNANCE-AWARENESS-02; NH-FUNCTION-FINANCE-D4-SECURITY-GOVERNANCE-AWARENESS-04","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"source-comparison-pack","Source comparison / version evidence","D4","Regulatory and policy fluency","applied","high","24","NH-CORE-GENERAL-D4-REGULATORY-POLICY-APPLIED-02; NH-CORE-GENERAL-D4-REGULATORY-POLICY-APPLIED-03; NH-CORE-GENERAL-D4-REGULATORY-POLICY-APPLIED-05; NH-CORE-GENERAL-D4-REGULATORY-POLICY-APPLIED-06; NH-CORE-GENERAL-D4-REGULATORY-POLICY-APPLIED-07; NH-FUNCTION-PEOPLE-D4-REGULATORY-POLICY-APPLIED-03; NH-FUNCTION-PEOPLE-D4-REGULATORY-POLICY-APPLIED-04; NH-FUNCTION-FINANCE-D4-REGULATORY-POLICY-APPLIED-02","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D5","ROI and measurement","proficient","high","24","NH-CORE-GENERAL-D5-ROI-METRICS-PROFICIENT-02; NH-CORE-GENERAL-D5-ROI-METRICS-PROFICIENT-03; NH-CORE-GENERAL-D5-ROI-METRICS-PROFICIENT-05; NH-CORE-GENERAL-D5-ROI-METRICS-PROFICIENT-07; NH-FUNCTION-GENERAL-D5-ROI-METRICS-PROFICIENT-03; NH-FUNCTION-FINANCE-D5-ROI-METRICS-PROFICIENT-02; NH-FUNCTION-MARKETING-D5-ROI-METRICS-PROFICIENT-04; NH-FUNCTION-SALES-D5-ROI-METRICS-PROFICIENT-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D6","Human-AI role clarity","awareness","high","23","NH-CORE-GENERAL-D6-ROLE-CLARITY-AWARENESS-02; NH-CORE-GENERAL-D6-ROLE-CLARITY-AWARENESS-03; NH-CORE-GENERAL-D6-ROLE-CLARITY-AWARENESS-05; NH-CORE-GENERAL-D6-ROLE-CLARITY-AWARENESS-07; NH-FUNCTION-GENERAL-D6-ROLE-CLARITY-AWARENESS-03; NH-FUNCTION-PEOPLE-D6-ROLE-CLARITY-AWARENESS-02; NH-FUNCTION-PEOPLE-D6-ROLE-CLARITY-AWARENESS-03; NH-FUNCTION-FINANCE-D6-ROLE-CLARITY-AWARENESS-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D6","Human-AI role clarity","proficient","high","23","NH-CORE-GENERAL-D6-ROLE-CLARITY-PROFICIENT-02; NH-CORE-GENERAL-D6-ROLE-CLARITY-PROFICIENT-03; NH-CORE-GENERAL-D6-ROLE-CLARITY-PROFICIENT-05; NH-CORE-GENERAL-D6-ROLE-CLARITY-PROFICIENT-07; NH-FUNCTION-GENERAL-D6-ROLE-CLARITY-PROFICIENT-03; NH-FUNCTION-PEOPLE-D6-ROLE-CLARITY-PROFICIENT-01; NH-FUNCTION-PEOPLE-D6-ROLE-CLARITY-PROFICIENT-03; NH-FUNCTION-FINANCE-D6-ROLE-CLARITY-PROFICIENT-02","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"workflow-trace","Workflow / agent trace","D1","AI systems literacy","applied","high","23","NH-CORE-GENERAL-D1-AI-SYSTEMS-APPLIED-03; NH-CORE-GENERAL-D1-AI-SYSTEMS-APPLIED-04; NH-CORE-GENERAL-D1-AI-SYSTEMS-APPLIED-06; NH-CORE-GENERAL-D1-AI-SYSTEMS-APPLIED-07; NH-CORE-GENERAL-D1-AI-SYSTEMS-APPLIED-08; NH-FUNCTION-GENERAL-D1-AI-SYSTEMS-APPLIED-01; NH-FUNCTION-GENERAL-D1-AI-SYSTEMS-APPLIED-02; NH-FUNCTION-GENERAL-D1-AI-SYSTEMS-APPLIED-03","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
